id,entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_direction_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_vehicle_label,vehicle_vehicle_license_plate,vehicle_vehicle_wheelchair_accessible,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_point,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_current_stop_sequence,vehicle_trip_route_id,vehicle_current_status,vehicle_timestamp,vehicle_congestion_level,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id
3821153,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.321934,-71.11203,0101000020E6100000F08AE07F2BC751C038BC202235294540,81.0,,,17,39,STOPPED_AT,2024-06-01 17:54:02-06:00,,61365,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286045
3845796,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287127
3821221,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.34922,-71.07229,0101000020E6100000FB743C66A0C451C0F88DAF3DB32C4540,319.0,,,2,39,IN_TRANSIT_TO,2024-06-01 17:54:03-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286045
3821458,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.313675,-71.11423,0101000020E6100000378E588B4FC751C052499D8026284540,184.0,,,20,39,STOPPED_AT,2024-06-01 17:54:00-06:00,,1164,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286045
3846100,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.33479,-71.10341,0101000020E61000001405FA449EC651C090831266DA2A4540,244.0,,,11,39,IN_TRANSIT_TO,2024-06-01 18:12:12-06:00,,1363,40.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287142
3846123,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287142
3833680,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.30551,-71.11468,0101000020E61000005760C8EA56C751C0EC4CA1F31A274540,150.0,,,24,39,STOPPED_AT,2024-06-01 18:03:02-06:00,,2006,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286586
3833743,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.34269,-71.085205,0101000020E61000002A1DACFF73C551C047551344DD2B4540,223.0,,,5,39,IN_TRANSIT_TO,2024-06-01 18:03:02-06:00,,31391,40.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286586
3833772,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286586
3821506,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.321747,-71.11217,0101000020E6100000E96514CB2DC751C0064B75012F294540,160.0,,,17,39,STOPPED_AT,2024-06-01 17:54:19-06:00,,61365,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286061
3821574,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.349224,-71.072266,0101000020E610000037A79201A0C451C0397D3D5FB32C4540,322.0,,,2,39,IN_TRANSIT_TO,2024-06-01 17:54:15-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286061
3821812,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.313526,-71.11426,0101000020E61000006CCF2C0950C751C00D39B69E21284540,262.0,,,20,39,STOPPED_AT,2024-06-01 17:54:18-06:00,,1164,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286061
3834024,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.30434,-71.11475,0101000020E6100000D34D621058C751C0AD6EF59CF4264540,180.0,,,25,39,STOPPED_AT,2024-06-01 18:03:16-06:00,,2007,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286601
3834086,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.341587,-71.08652,0101000020E6100000CB9C2E8B89C551C08FDE701FB92B4540,234.0,,,5,39,STOPPED_AT,2024-06-01 18:03:15-06:00,,31391,40.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286601
3834115,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286601
3846428,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.33411,-71.10506,0101000020E61000008907944DB9C651C01FA2D11DC42A4540,235.0,,,11,39,IN_TRANSIT_TO,2024-06-01 18:12:34-06:00,,1363,40.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287157
3846451,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287157
3821860,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.321262,-71.112045,0101000020E61000008AABCABE2BC751C049B9FB1C1F294540,171.0,,,18,39,IN_TRANSIT_TO,2024-06-01 17:54:32-06:00,,1160,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286075
3821925,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.349403,-71.07252,0101000020E61000009413ED2AA4C451C0E90FCD3CB92C4540,319.0,,,2,39,IN_TRANSIT_TO,2024-06-01 17:54:32-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286075
3822163,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.31358,-71.11412,0101000020E610000073F4F8BD4DC751C00057B26323284540,212.0,,,20,39,STOPPED_AT,2024-06-01 17:54:32-06:00,,1164,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286075
3846754,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.333763,-71.1057,0101000020E6100000FBCBEEC9C3C651C0B3CEF8BEB82A4540,242.0,,,11,39,IN_TRANSIT_TO,2024-06-01 18:12:47-06:00,,1363,40.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287173
3846776,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287173
3834367,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.304024,-71.11477,0101000020E6100000F623456458C751C07C992842EA264540,181.0,,,25,39,STOPPED_AT,2024-06-01 18:03:33-06:00,,2007,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286616
3834429,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.341362,-71.08676,0101000020E610000076A6D0798DC551C06F0C01C0B12B4540,0.0,,,5,39,STOPPED_AT,2024-06-01 18:03:25-06:00,,31391,40.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286616
3834458,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286616
3834710,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.302773,-71.114525,0101000020E6100000C364AA6054C751C0508E0244C1264540,172.0,,,26,39,IN_TRANSIT_TO,2024-06-01 18:03:46-06:00,,10642,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286631
3834770,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.34107,-71.08709,0101000020E6100000C173EFE192C551C0C8D2872EA82B4540,246.0,,,5,39,STOPPED_AT,2024-06-01 18:03:48-06:00,,31391,40.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286631
